0,0,0,0,0,0,0,0,0,0,0
0.005,0.0179469,-0.0151544,0.0149367,-0.0125409,0.0102768,-0.00699125,0.00449579,-0.002838,0.00173041,-0.00111497
0.01,0.0308306,-0.0255697,0.0243561,-0.0195494,0.0150276,-0.00935594,0.00538589,-0.00294451,0.0015048,-0.000818781
0.015,0.0406128,-0.0330989,0.0304857,-0.0233825,0.0168072,-0.00947316,0.00474832,-0.00209212,0.000739336,-0.000217501
0.02,0.0484052,-0.0387905,0.034577,-0.0253429,0.0169843,-0.00855371,0.00357153,-0.00105502,-2.39322e-06,0.000281143
0.025,0.0548592,-0.0432577,0.0373543,-0.0261689,0.016303,-0.00721111,0.00230734,-0.00013726,-0.00054095,0.000574253
0.03,0.0603714,-0.0468724,0.0392515,-0.0262909,0.0151748,-0.00575293,0.00114748,0.000569422,-0.000857093,0.000677844
0.035,0.0651926,-0.0498691,0.0405381,-0.0259676,0.0138312,-0.00432974,0.000160379,0.00106256,-0.00098885,0.000643666
0.04,0.0694877,-0.0524015,0.0413875,-0.0253595,0.012404,-0.00301133,-0.000641786,0.00137221,-0.000986972,0.000525051
0.045,0.0733697,-0.0545741,0.0419152,-0.0245685,0.0109688,-0.00182589,-0.0012708,0.00153599,-0.000897633,0.000365182
0.05,0.0769184,-0.0564605,0.0422009,-0.0236618,0.00956904,-0.000780388,-0.00174714,0.00158913,-0.000757281,0.000194937
0.055,0.080192,-0.058114,0.0423008,-0.0226839,0.0082288,0.000128856,-0.00209306,0.00156123,-0.000592465,3.43579e-05
0.06,0.0832341,-0.0595743,0.0422559,-0.0216652,0.00696085,0.000910592,-0.00232962,0.00147587,-0.00042142,-0.000104898
0.065,0.0860785,-0.0608718,0.0420963,-0.0206269,0.00577097,0.00157568,-0.00247561,0.00135129,-0.000255991,-0.000217172
0.07,0.0887514,-0.0620302,0.0418453,-0.0195833,0.00466072,0.00213556,-0.00254731,0.00120138,-0.000103369,-0.000300846
0.075,0.0912739,-0.0630683,0.0415203,-0.0185449,0.00362905,0.0026014,-0.0025586,0.00103657,3.25146e-05,-0.000356862
0.08,0.0936633,-0.0640014,0.0411354,-0.0175188,0.00267341,0.00298372,-0.00252125,0.000864653,0.000149936,-0.000387664
0.085,0.0959338,-0.0648419,0.0407015,-0.01651,0.00179039,0.00329221,-0.00244517,0.000691404,0.000248618,-0.000396466
0.09,0.0980972,-0.0656003,0.0402275,-0.0155221,0.00097615,0.00353568,-0.00233866,0.000521053,0.000329193,-0.000386766
0.095,0.100164,-0.0662853,0.0397206,-0.0145573,0.000226658,0.00372204,-0.00220872,0.000356662,0.000392826,-0.000362042
0.1,0.102142,-0.0669043,0.0391868,-0.0136174,-0.0004621,0.00385836,-0.00206118,0.000200404,0.000440972,-0.000325566
0.105,0.10404,-0.0674638,0.0386311,-0.0127034,-0.00109404,0.00395095,-0.00190091,5.37737e-05,0.000475203,-0.000280305
0.11,0.105863,-0.0679694,0.0380574,-0.0118157,-0.00167292,0.0040054,-0.00173196,-8.22531e-05,0.000497106,-0.000228873
0.115,0.107618,-0.0684258,0.0374693,-0.0109547,-0.0022023,0.00402667,-0.00155771,-0.000207098,0.000508216,-0.000173522
0.12,0.109309,-0.0688374,0.0368698,-0.0101202,-0.00268552,0.00401913,-0.00138093,-0.000320487,0.000509978,-0.000116157
0.125,0.110942,-0.069208,0.0362614,-0.00931229,-0.00312574,0.00398666,-0.0012039,-0.00042238,0.000503725,-5.83532e-05
0.13,0.11252,-0.0695407,0.0356461,-0.00853049,-0.00352586,0.00393268,-0.0010285,-0.000512912,0.000490673,-1.39436e-06
0.135,0.114046,-0.0698387,0.0350259,-0.00777443,-0.00388863,0.00386022,-0.000856234,-0.000592354,0.00047192,5.36989e-05
0.14,0.115525,-0.0701046,0.0344024,-0.00704364,-0.00421658,0.00377194,-0.000688314,-0.000661077,0.000448446,0.000106134
0.145,0.116958,-0.0703408,0.0337768,-0.00633758,-0.00451208,0.00367021,-0.000525698,-0.000719523,0.000421126,0.000155315
0.15,0.118349,-0.0705495,0.0331503,-0.00565568,-0.0047773,0.00355711,-0.00036913,-0.000768187,0.000390733,0.000200815
0.155,0.1197,-0.0707325,0.0325241,-0.00499734,-0.00501431,0.00343446,-0.000219175,-0.000807599,0.000357951,0.000242345
0.16,0.121014,-0.0708917,0.0318989,-0.00436197,-0.00522499,0.00330391,-7.62456e-05,-0.000838309,0.000323378,0.000279739
0.165,0.122292,-0.0710287,0.0312755,-0.00374893,-0.0054111,0.00316689,5.93709e-05,-0.000860878,0.000287541,0.000312922
