xAxL testLoss trainLoss
100.0 0.013565987348556519 0.013825028203427792
200.0 0.011694912798702717 0.011824280023574829
300.0 0.010907243937253952 0.01101020909845829
400.0 0.010138497687876225 0.010217353701591492
500.0 0.00940006785094738 0.009457431733608246
600.0 0.008701182901859283 0.008739781565964222
700.0 0.008051865734159946 0.00807460118085146
800.0 0.007461738772690296 0.007471527438610792
900.0 0.00693785073235631 0.006937320344150066
1000.0 0.006483506411314011 0.0064749158918857574
1100.0 0.006097524892538786 0.006082899868488312
1200.0 0.005774309858679771 0.0057555376552045345
1300.0 0.005505128297954798 0.005483944434672594
1400.0 0.005279995501041412 0.005257900338619947
1500.0 0.005089388694614172 0.0050675836391747
1600.0 0.004925388377159834 0.004904757719486952
1700.0 0.0047820997424423695 0.004763239528983831
1800.0 0.004655469674617052 0.004638745449483395
1900.0 0.004542812705039978 0.004528425168246031
2000.0 0.004442329052835703 0.00443036574870348
2100.0 0.004352725576609373 0.00434320280328393
2200.0 0.004272975958883762 0.004265874624252319
2300.0 0.004202183336019516 0.0041974615305662155
2400.0 0.004139499738812447 0.004137107636779547
2500.0 0.004084087908267975 0.004083977080881596
2600.0 0.0040351166389882565 0.004037240985780954
2700.0 0.003991761244833469 0.003996080718934536
2800.0 0.003953219391405582 0.00395969720557332
2900.0 0.003918725531548262 0.003927323501557112
3000.0 0.003887561149895191 0.003898236434906721
3100.0 0.003859062446281314 0.0038717598654329777
3200.0 0.0038326182402670383 0.003847268642857671
3300.0 0.003807672066614032 0.003824185812845826
3400.0 0.0037837140262126923 0.0038019828498363495
3500.0 0.0037602775264531374 0.0037801743019372225
3600.0 0.0037369332276284695 0.0037583133671432734
3700.0 0.0037132834549993277 0.0037359909620136023
3800.0 0.0036889577750116587 0.003712826408445835
3900.0 0.00366359855979681 0.0036884562578052282
4000.0 0.0036368430592119694 0.0036625179927796125
4100.0 0.0036083420272916555 0.0036346374545246363
4200.0 0.0035776509903371334 0.0036043841391801834
4300.0 0.003544288221746683 0.003571277018636465
4400.0 0.0035077363718301058 0.0035347610246390104
4500.0 0.0034673556219786406 0.003494195407256484
4600.0 0.003422391600906849 0.0034487792290747166
4700.0 0.003371930681169033 0.0033975320402532816
4800.0 0.003314865520223975 0.00333929224871099
4900.0 0.0032502184621989727 0.0032729683443903923
5000.0 0.003177529200911522 0.0031980157364159822
5100.0 0.0030975202098488808 0.003115114290267229
5200.0 0.0030124362092465162 0.003026574617251754
5300.0 0.002925722859799862 0.002936026081442833
5400.0 0.0028411357197910547 0.0028474496211856604
5500.0 0.002761556301265955 0.002763938158750534
5600.0 0.0026879534125328064 0.0026866141706705093
5700.0 0.002619488164782524 0.0026147249154746532
5800.0 0.0025544497184455395 0.0025465197395533323
5900.0 0.0024913286324590445 0.002480488270521164
6000.0 0.0024293391034007072 0.002415804425254464
6100.0 0.002368366811424494 0.0023524281568825245
6200.0 0.002308798721060157 0.002290689619258046
6300.0 0.0022509698756039143 0.002230933401733637
6400.0 0.0021948833018541336 0.0021731245797127485
6500.0 0.0021399466786533594 0.0021165995858609676
6600.0 0.0020848296117037535 0.002059892052784562
6700.0 0.0020272103138267994 0.0020004629623144865
6800.0 0.0019633229821920395 0.0019342260202392936
6900.0 0.001888053840957582 0.0018556613940745592
7000.0 0.0017988051986321807 0.0017616621917113662
7100.0 0.0017009373987093568 0.0016573710599914193
7200.0 0.001603493350557983 0.0015524827176705003
7300.0 0.0015118324663490057 0.0014534733491018414
7400.0 0.0014282307820394635 0.0013634721981361508
7500.0 0.001353427884168923 0.0012836303794756532
7600.0 0.0012870432110503316 0.0012135650031268597
7700.0 0.0012276635970920324 0.0011516764061525464
7800.0 0.0011734997387975454 0.0010959884384647012
7900.0 0.0011230335803702474 0.0010448183165863156
8000.0 0.001075291889719665 0.0009969881502911448
8100.0 0.0010293446248397231 0.0009515825659036636
8200.0 0.0009846648899838328 0.0009077934082597494
8300.0 0.0009404090815223753 0.0008648835937492549
8400.0 0.0008973523508757353 0.0008228385704569519
8500.0 0.0008549795020371675 0.0007813893025740981
8600.0 0.0008137515978887677 0.0007407687953673303
8700.0 0.0007746312185190618 0.0007018001633696258
8800.0 0.0007374205742962658 0.0006645782850682735
8900.0 0.0007023668731562793 0.0006295025814324617
9000.0 0.0006697099306620657 0.0005969085032120347
9100.0 0.0006387223256751895 0.0005662402254529297
9200.0 0.0006095884600654244 0.0005378190544433892
9300.0 0.0005823718383908272 0.0005114693776704371
9400.0 0.0005565317696891725 0.0004868563264608383
9500.0 0.0005324032972566783 0.00046406558249145746
9600.0 0.0005099499248899519 0.0004429011605679989
9700.0 0.0004889658303000033 0.00042339263018220663
9800.0 0.0004695413517765701 0.0004049388226121664
9900.0 0.0004527530400082469 0.00038858928019180894
10000.0 0.0004354650154709816 0.00037238807999528944
10100.0 0.0004189105820842087 0.0003571187553461641
10200.0 0.0004040700732730329 0.0003431543882470578
10300.0 0.0003902873722836375 0.00033003484713844955
10400.0 0.00037727231392636895 0.0003176065511070192
10500.0 0.00036498706322163343 0.00030589988455176353
10600.0 0.0003544420760590583 0.00029648057534359396
10700.0 0.0003427026385907084 0.0002847229188773781
10800.0 0.00033203657949343324 0.0002744853845797479
10900.0 0.0003238739154767245 0.0002663905324880034
11000.0 0.00031311274506151676 0.00025585302500985563
11100.0 0.00030475109815597534 0.000247555406531319
11200.0 0.0002961237041745335 0.00023923629487399012
11300.0 0.00028812175150960684 0.00023157648683991283
11400.0 0.0002806712582241744 0.0002242785121779889
11500.0 0.0002736805472522974 0.00021745315461885184
11600.0 0.00026720413006842136 0.00021102707250975072
11700.0 0.00026087299920618534 0.00020494943601079285
11800.0 0.00025513037689961493 0.00019929542031604797
11900.0 0.0002497554523870349 0.0001939715730259195
12000.0 0.000244979775743559 0.00018937171262223274
12100.0 0.00023971052723936737 0.00018448400078341365
12200.0 0.00023536194930784404 0.00017995652160607278
12300.0 0.00023156443785410374 0.00017599498096387833
