xAx eigsU eigsP eigsE eigsNut
1.0 0.99995608544907588211 0.99998391576921741297 0.99997098542640938668 0.97389078753965929725
2.0 0.99998383242092547807 0.99999772708663836607 0.99999537299325103046 0.99207238566218824971
3.0 0.99998999443779978957 0.99999950815632387968 0.99999804949155191025 0.99762161058310139250
4.0 0.99999356641969294746 0.99999984590690071951 0.99999871884319779802 0.99873552341741078653
5.0 0.99999586737009371618 0.99999993573229917221 0.99999913277480079188 0.99907135257813306506
6.0 0.99999731121439705550 0.99999996766587795349 0.99999945596533224013 0.99935664066568230535
7.0 0.99999820347727352843 0.99999998232582743007 0.99999967550487489643 0.99952247178555109208
8.0 0.99999869649916217629 0.99999998900307485172 0.99999976195053041916 0.99962589191360828877
9.0 0.99999909081086546525 0.99999999182542109732 0.99999983944717585338 0.99972758972560615831
10.0 0.99999934871824325278 0.99999999430918218302 0.99999989335613148622 0.99980959610021813422
11.0 0.99999954238787203131 0.99999999597134292539 0.99999992947859994707 0.99986646172280502221
12.0 0.99999964742311842070 0.99999999710308018486 0.99999994809090075876 0.99989860295290255987
13.0 0.99999971406997578693 0.99999999804802697234 0.99999996266908808273 0.99991441426434191087
14.0 0.99999977619282209851 0.99999999840180020527 0.99999997284479480442 0.99992911322023936282
15.0 0.99999981358631362394 0.99999999874903244823 0.99999997756973235674 0.99993979944491551137
16.0 0.99999985062430118976 0.99999999904269509798 0.99999998108785115303 0.99995015478673099363
17.0 0.99999988100139014513 0.99999999927938543198 0.99999998422809521781 0.99995797588940849021
18.0 0.99999990457757981233 0.99999999944483486392 0.99999998712845161730 0.99996529650929844024
19.0 0.99999992392300518507 0.99999999954925300472 0.99999998957879721040 0.99997141950317192105
20.0 0.99999993915404905565 0.99999999962731755954 0.99999999143162487947 0.99997561262766487822
21.0 0.99999995163381727448 0.99999999969210684458 0.99999999305255737880 0.99997914693746259296
22.0 0.99999995955739373610 0.99999999974613740239 0.99999999419559792990 0.99998199834252476936
23.0 0.99999996698781612459 0.99999999978598175243 0.99999999527279714862 0.99998441775411373023
24.0 0.99999997318832001270 0.99999999982042175883 0.99999999614040868678 0.99998647046368849267
25.0 0.99999997867956103015 0.99999999984861032143 0.99999999677140438692 0.99998822340301563028
26.0 0.99999998293298497654 0.99999999987484544661 0.99999999734768307835 0.99998957681167044420
27.0 0.99999998649428833986 0.99999999989492049934 0.99999999786096116505 0.99999090327186734850
28.0 0.99999998906170051161 0.99999999991234000962 0.99999999826494578858 0.99999208024125252336
29.0 0.99999999062962408036 0.99999999992605093091 0.99999999852451537663 0.99999319899998750927
30.0 0.99999999174561815529 0.99999999993680488419 0.99999999873301836928 0.99999400968266616285
31.0 0.99999999273932205224 0.99999999994521315827 0.99999999891336710522 0.99999474251220132892
32.0 0.99999999366775416121 0.99999999995335830949 0.99999999903952918601 0.99999535440162168332
33.0 0.99999999437661246660 0.99999999996034372174 0.99999999915343107393 0.99999589137528066551
34.0 0.99999999503539027668 0.99999999996658206491 0.99999999924480853508 0.99999632388493642221
35.0 0.99999999560633978657 0.99999999997202260182 0.99999999933290673049 0.99999671916956223150
36.0 0.99999999607882628094 0.99999999997646205063 0.99999999941301398465 0.99999709819425608437
37.0 0.99999999652557647334 0.99999999997923971762 0.99999999948687323670 0.99999742155870219307
38.0 0.99999999692471219781 0.99999999998191280159 0.99999999955811302854 0.99999768123446930446
39.0 0.99999999724195232087 0.99999999998449873306 0.99999999960673069399 0.99999791475309707245
40.0 0.99999999752178359014 0.99999999998666322387 0.99999999964749397563 0.99999813210629728832
41.0 0.99999999779297354952 0.99999999998833222215 0.99999999968098163272 0.99999833940235671736
42.0 0.99999999803775230234 0.99999999998972777249 0.99999999971104225338 0.99999850766435682825
43.0 0.99999999824968333062 0.99999999999105571025 0.99999999974017428350 0.99999865798931775185
44.0 0.99999999841958275848 0.99999999999206423684 0.99999999976666997803 0.99999878879425607714
45.0 0.99999999858338228798 0.99999999999300148712 0.99999999979144571505 0.99999890892683251931
46.0 0.99999999871081424185 0.99999999999366362413 0.99999999981173448571 0.99999901296288551400
47.0 0.99999999883502177500 0.99999999999426514297 0.99999999982991061298 0.99999910155497973019
48.0 0.99999999894294189229 0.99999999999481370416 0.99999999984489795768 0.99999918320203551314
49.0 0.99999999903054870298 0.99999999999533106809 0.99999999985736909291 0.99999925767681074884
50.0 0.99999999911378101292 0.99999999999575672760 0.99999999986867460500 0.99999931304045541758
